#Dated intervals of 100 yr durations from GICC05. When error is <=0, put 0.1.
#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
8.00	211.84	1000	1.00
211.84	384.99	1000	0.10
384.99	547.05	1000	1.41
547.05	697.65	1000	1.73
697.65	836.22	1000	2.24
836.22	968.20	1000	2.24
968.20	1091.57	1000	2.65
1091.57	1207.34	1000	4.47
1207.34	1303.57	1000	4.48
1303.57	1386.03	1000	4.47
1386.03	1453.66	1000	3.30
1453.66	1501.92	1000	3.89
1501.92	1531.58	1000	5.65
1531.58	1573.03	1000	5.11
1573.03	1613.36	1000	5.56
1613.36	1635.75	1000	6.72
1635.75	1658.54	1000	7.54
1658.54	1681.43	1000	7.13
1681.43	1704.03	1000	7.00
1704.03	1726.11	1000	6.71
1726.11	1747.72	1000	6.64
1747.72	1766.75	1000	6.56
1766.75	1786.32	1000	7.15
1786.32	1804.69	1000	7.41
1804.69	1820.47	1000	7.29
1820.47	1835.48	1000	7.62
1835.48	1852.86	1000	6.78
1852.86	1873.17	1000	7.48
1873.17	1893.63	1000	7.21
1893.63	1907.83	1000	8.35
1907.83	1923.49	1000	8.07
1923.49	1939.36	1000	8.14
1939.36	1959.49	1000	8.23
1959.49	1979.24	1000	7.95
1979.24	1997.09	1000	7.99
1997.09	2017.83	1000	7.49
2017.83	2036.10	1000	7.62
2036.10	2063.74	1000	5.20
2063.74	2082.39	1000	7.22
2082.39	2096.77	1000	9.04
2096.77	2113.66	1000	6.94
2113.66	2132.02	1000	6.93
2132.02	2149.86	1000	7.31
2149.86	2166.52	1000	6.78
2166.52	2182.26	1000	6.96
2182.26	2201.99	1000	7.18
2201.99	2224.61	1000	7.04
2224.61	2237.30	1000	7.28
2237.30	2252.04	1000	6.74
2252.04	2268.32	1000	7.28
2268.32	2285.06	1000	6.36
2285.06	2302.60	1000	7.56
2302.60	2321.58	1000	7.68
2321.58	2341.42	1000	8.03
2341.42	2355.61	1000	7.65
2355.61	2368.85	1000	7.24
2368.85	2382.23	1000	7.48
2382.23	2398.42	1000	6.16
2398.42	2413.93	1000	7.52
