# TAC data
# depth (m) TAC (cm3/g)
depth	data
115.09	0.0873
126.64	0.0860
137.64	0.0883
148.64	0.0871
159.64	0.0884
165.14	0.0874
176.14	0.0883
187.14	0.0875
198.14	0.0890
209.14	0.0858
225.09	0.0890
236.09	0.0873
247.64	0.0863
258.64	0.0871
269.09	0.0871
275.69	0.0904
285.59	0.0869
297.14	0.0894
308.14	0.0880
319.14	0.0878
335.64	0.0889
346.64	0.0888
350.95	0.0879
357.09	0.0895
362.89	0.0865
383.93	0.0858
404.73	0.0850
404.76	0.0863
414.73	0.0865
427.19	0.0915
444.45	0.0893
463.56	0.0873
463.59	0.0874
481.85	0.0901
501.65	0.0921
529.10	0.0955
543.84	0.0899
543.87	0.0896
564.85	0.0932
586.35	0.0918
606.10	0.0971
624.85	0.0937
645.70	0.0930
664.45	0.0977
684.31	0.0940
704.11	0.0906
724.38	0.0893
740.35	0.0894
744.84	0.0904
764.30	0.0888
784.41	0.0902
798.30	0.0887
803.60	0.0920
816.80	0.0885
839.93	0.0893
866.29	0.0906
888.29	0.0918
915.79	0.0912
937.80	0.0893
965.29	0.0916
987.30	0.0911
1017.55	0.0935
1036.79	0.0913
1069.79	0.0936
1091.79	0.0900
1113.79	0.0916
1141.29	0.0919
1163.29	0.0906
1190.79	0.0898
1212.79	0.0941
1237.54	0.0951
1262.29	0.0896
1289.79	0.0893
1311.79	0.0896
1339.29	0.0871
1366.79	0.0882
1388.79	0.0923
1416.29	0.0907
1443.79	0.0941
1465.79	0.0903
1487.79	0.0922
1512.54	0.0911
1540.04	0.0911
1564.79	0.0891
1592.29	0.0898
1614.29	0.0900
1641.79	0.0896
1663.79	0.0941
1691.29	0.0911
1718.79	0.0878
1740.79	0.0869
1762.79	0.0911
1779.75	0.0904
1790.29	0.0911
1801.75	0.0929
1812.34	0.0932
1829.25	0.0939
1839.80	0.0932
1851.25	0.0965
1867.29	0.0940
1878.75	0.0924
1889.29	0.0912
1900.75	0.0942
1916.80	0.0900
1922.29	0.0927
1938.80	0.0938
1953.00	0.0911
1966.29	0.0942
1977.75	0.0925
