#DF-EDC CH4 midpoints
depth1	depth2	age_unc	comment
420.22	418.28	300.00	#YD-PB
481.39	476.27	300.00	#OD-BA
665.44	639.24	300.00	#DO3
724.61	687.31	300.00	#DO5.2
742.79	702.96	300.00	#DO6
763.56	719.89	300.00	#DO7
798.53	751.24	300.00	#DO8
907.88	848.57	300.00	#DO12
1011.43	944.89	300.00	#DO15.2
1058.63	986.15	300.00	#DO17.2
1117.81	1038.40	300.00	#DO18
1191.06	1105.55	300.00	#DO19
1229.56	1142.65	300.00	#DO20
1329.57	1236.15	300.00	#DO21
1398.8	1303.50	300.00	#DO22
1522.8	1425.90	300.00	#DO23
1577.81	1472.66	300.00	#DO24
1619.81	1511.15	300.00	#DO25
1783.8	1721.52	300.00	#MIS5e
