#DF Depth	WD Depth	uncertainty
depth1	depth2	age_unc	comment
134.62	324.36	191.29
249.85	1198.21	258.21000000000004
419.73	1983.07	84.78999999999999
447.19	2097.63	96.77
481.42	2259.39	78.11
535.49	2437.74	327.97
618.83	2632.55	273.12
676.4	2787.95	187.93
716.11	2875.85	338.61
724.51	2885.43	124.47
736.47	2905.58	150.34
741.68	2913.01	117.80000000000001
754.33	2938.43	97.83
762.87	2958.65	113.46
776.47	2986.34	146.13
784.26	2997.5	90.53
798.38	3021.37	152.19
815.79	3050.12	88.64
837.89	3083.89	145.49
844.21	3094.31	141.14000000000001
851.88	3110.75	156.36
864.95	3130.43	109.65
877.99	3149.9	188.20000000000002
906.65	3195.38	115.64
922.66	3221.48	126.52
937.72	3237.79	151.92
