#EDC Depth	WD Depth	uncertainty
depth1	depth2	age_unc	comment
104.14	119.59	63.16
323.31	1628.09	38.15
418.16	1983.07	71.18
443.92	2097.63	132.42000000000002
475.58	2259.39	134.38
521.36	2438.87	334.48
600.02	2632.13	191.74
637.02	2747.26	130.79000000000002
639.24	2755.75	121.19
647.98	2787.95	171.88
650.82	2797.92	171.67999999999998
671.12	2848.4	124.89
684.29	2875.85	131.36
688.18	2885.43	68.9
701.99	2913.01	52.21
712.64	2938.43	87.42
719.57	2958.65	66.49
731.69	2986.34	102.02000000000001
750.63	3021.37	136.13
766.41	3050.12	103.35
773.77	3063.51	64.75
775.56	3066.68	61.03
784.72	3083.89	61.03
790.33	3094.31	148.5
797.09	3110.75	169.76999999999998
808.89	3130.43	71.24
820.5	3149.9	114.13
847.4	3195.38	156.62
862.47	3221.48	181.75
876.13	3237.79	153.69
924.92	3311.31	162.67000000000002
945.42	3329.83	131.65
970.07	3352.59	179.70000000000002
980.39	3360.03	106.53
985.71	3363.42	167.51999999999998
1033.59	3387.29	99.37
