#EDML Depth	WD Depth	uncertainty
depth1	depth2	age_unc	comment
567.87	1628.09	58.76
716.4	1983.07	97.75
766.77	2097.63	122.32
829.11	2259.39	81.87
881.54	2369.29	140.68
932.97	2446.16	183.24
1071.57	2632.13	119.3
1148.93	2747.26	145.85000000000002
1151.91	2755.75	163.66000000000003
1167.82	2787.95	183.44
1173.57	2797.92	96.59
1227.25	2875.85	200.78
1232.85	2885.43	112.5
1249.03	2905.58	189.17000000000002
1260.36	2913.01	93.47999999999999
1273.28	2938.43	200.94
1285.49	2958.65	152.38
1307.3	2986.34	108.62
1337.18	3021.37	123.0
1364.17	3050.12	100.14999999999999
1375.7	3066.68	108.03999999999999
1392.36	3083.89	177.91
1403.9	3094.31	145.33
1413.54	3110.75	202.13
1437.09	3130.43	136.04999999999998
1452.07	3149.9	219.39000000000001
1490.08	3195.38	172.88
1511.17	3221.48	213.32999999999998
1601.84	3311.31	75.2
1617.47	3322.24	101.66
1621.75	3326.23	114.96000000000001
1627.25	3329.83	107.78999999999999
1641.84	3337.99	236.76
1663.65	3350.44	106.04
1667.8	3352.59	111.3
1680.67	3360.03	105.14
1685.86	3362.26	120.25
1687.61	3363.42	84.28999999999999
