/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): AICC2012 chronology for ice core NGRIP [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824867, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Further details:	Supplementary material to AICC2012 ice core chronology (URI: hdl:10013/epic.42823.d001)
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: https://en.wikipedia.org/wiki/North_Greenland_Ice_Core_Project)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 8 m * MAXIMUM DEPTH, ice/snow: 3082 m
Event(s):	NGRIP (NorthGRIP) * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Age, standard deviation [±] (Age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age, standard deviation [±] (Gas age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Thinning function (TF) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Lock-in depth in ice equivalent [m] (LIDIE) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	15986 data points
*/
Depth ice/snow [m]	Age [ka BP]	Age std dev [±]	Gas age [ka BP]	Gas age std dev [±]	Acc rate ice per year [m/a]	TF	LIDIE [m]
8	-0.03000				0.1797	0.9955	
9	-0.02723				0.1710	0.9953	
10	-0.02417				0.1796	0.9951	
11	-0.02117				0.2011	0.9948	
12	-0.01846				0.1733	0.9946	
13	-0.01529				0.1586	0.9944	
14	-0.01170				0.2072	0.9942	
15	-0.00887				0.1867	0.9941	
16	-0.00569				0.1876	0.9938	
17	-0.00247				0.1831	0.9936	
18	0.00086				0.1991	0.9933	
19	0.00398				0.1722	0.9932	
20	0.00763				0.1805	0.9930	
21	0.01116				0.1815	0.9927	26.77
22	0.01470		-0.12932	0.01121	0.2158	0.9924	27.57
23	0.01771		-0.12898	0.01145	0.1979	0.9923	28.15
24	0.02104		-0.12849	0.01177	0.1746	0.9920	28.93
25	0.02487		-0.12843	0.01201	0.1690	0.9918	29.49
26	0.02888		-0.12737	0.01232	0.1755	0.9915	30.24
27	0.03278		-0.12716	0.01255	0.2011	0.9913	30.78
28	0.03624		-0.12581	0.01286	0.1767	0.9911	31.51
29	0.04020		-0.12545	0.01316	0.1832	0.9910	32.23
30	0.04405		-0.12503	0.01338	0.1846	0.9908	32.77
31	0.04792		-0.12350	0.01368	0.2055	0.9906	33.47
32	0.05142		-0.12292	0.01398	0.2008	0.9905	34.18
33	0.05505		-0.12230	0.01427	0.2014	0.9903	34.88
34	0.05869		-0.12157	0.01449	0.1750	0.9902	35.40
35	0.06291		-0.11988	0.01478	0.1927	0.9901	36.10
36	0.06677		-0.11911	0.01507	0.1973	0.9902	36.78
37	0.07058		-0.11828	0.01536	0.2457	0.9901	37.47
38	0.07367		-0.11739	0.01558	0.2048	0.9901	37.99
39	0.07740		-0.11555	0.01587	0.1885	0.9900	38.67
40	0.08149		-0.11458	0.01616	0.1842	0.9899	39.35
41	0.08571		-0.11355	0.01644	0.1945	0.9898	40.03
42	0.08974		-0.11252	0.01673	0.1946	0.9898	40.71
43	0.09378		-0.11147	0.01701	0.2144	0.9897	41.38
44	0.09747		-0.11035	0.01729	0.2013	0.9897	42.05
45	0.10144		-0.10916	0.01756	0.1868	0.9896	42.70
46	0.10575		-0.10787	0.01783	0.1818	0.9895	43.35
47	0.11021		-0.10655	0.01809	0.1973	0.9894	43.99
48	0.11435		-0.10512	0.01835	0.1972	0.9892	44.62
49	0.11852		-0.10363	0.01868	0.2067	0.9890	45.41
50	0.12252		-0.10297	0.01895	0.1942	0.9889	46.04
51	0.12679		-0.10144	0.01922	0.1872	0.9887	46.67
52	0.13126		-0.09987	0.01948	0.1862	0.9884	47.30
53	0.13578		-0.09821	0.01975	0.1859	0.9882	47.91
54	0.14033		-0.09652	0.02007	0.1964	0.9880	48.68
55	0.14466		-0.09562	0.02032	0.2200	0.9876	49.29
56	0.14854		-0.09381	0.02041	0.1933	0.9873	49.49
57	0.15297		-0.08974	0.02045	0.2035	0.9870	49.58
58	0.15721		-0.08507	0.02051	0.1840	0.9866	49.73
59	0.16196		-0.08089	0.02059	0.2125	0.9862	49.90
60	0.16607		-0.07691	0.02064	0.1845	0.9857	50.03
61	0.17082		-0.07275	0.02074	0.1856	0.9854	50.29
62	0.17556		-0.06926	0.02079	0.2028	0.9850	50.39
63	0.17993		-0.06505	0.02083	0.1960	0.9845	50.49
64	0.18449		-0.06094	0.02091	0.1836	0.9841	50.70
65	0.18937		-0.05747	0.02094	0.1845	0.9837	50.76
66	0.19426		-0.05331	0.02102	0.2271	0.9833	50.95
67	0.19826		-0.04979	0.02116	0.1788	0.9828	51.28
68	0.20338		-0.04689	0.02124	0.1896	0.9825	51.47
69	0.20822		-0.04342	0.02132	0.2099	0.9820	51.65
70	0.21261		-0.03994	0.02144	0.1842	0.9816	51.95
71	0.21761		-0.03695	0.02143	0.2033	0.9813	51.90
72	0.22217		-0.03258	0.02142	0.1899	0.9808	51.87
73	0.22708		-0.02826	0.02307	0.1919	0.9805	51.78
74	0.23196		-0.02344	0.02098	0.1923	0.9801	51.90
75	0.23686		-0.01971	0.02761	0.1902	0.9796	51.65
76	0.24183		-0.01396	0.02178	0.1805	0.9793	51.58
77	0.24710		-0.00917	0.02464	0.1898	0.9789	51.53
78	0.25212		-0.00442	0.02568	0.1888	0.9786	51.64
79	0.25718		-0.00035	0.02806	0.2100	0.9782	51.59
