depth	deporate
8	0.1797
9	0.171
10	0.1796
11	0.2011
12	0.1733
13	0.1586
14	0.2072
15	0.1867
16	0.1876
17	0.1831
18	0.1991
19	0.1722
20	0.1805
21	0.1815
22	0.2158
23	0.1979
24	0.1746
25	0.169
26	0.1755
27	0.2011
28	0.1767
29	0.1832
30	0.1846
31	0.2055
32	0.2008
33	0.2014
34	0.175
35	0.1927
36	0.1973
37	0.2457
38	0.2048
39	0.1885
40	0.1842
41	0.1945
42	0.1946
43	0.2144
44	0.2013
45	0.1868
46	0.1818
47	0.1973
48	0.1972
49	0.2067
50	0.1942
51	0.1872
52	0.1862
53	0.1859
54	0.1964
55	0.22
56	0.1933
57	0.2035
58	0.184
59	0.2125
60	0.1845
61	0.1856
62	0.2028
63	0.196
64	0.1836
65	0.1845
66	0.2271
67	0.1788
68	0.1896
69	0.2099
70	0.1842
71	0.2033
72	0.1899
73	0.1919
74	0.1923
75	0.1902
76	0.1805
77	0.1898
78	0.1888
79	0.21
80	0.1959
81	0.2176
82	0.1928
83	0.1942
84	0.1823
85	0.1821
86	0.1869
87	0.2071
88	0.1926
89	0.1918
90	0.1835
91	0.2021
92	0.1941
93	0.1946
94	0.2134
95	0.1796
96	0.193
97	0.2039
98	0.2133
99	0.2112
100	0.1954
101	0.2023
102	0.1879
103	0.1799
104	0.1989
105	0.1914
106	0.1902
107	0.1903
108	0.201
109	0.1899
110	0.1926
111	0.2047
112	0.1859
113	0.1907
114	0.1999
115	0.1935
116	0.2029
117	0.1829
118	0.2113
119	0.1851
120	0.192
121	0.1855
122	0.1905
123	0.1827
124	0.2249
125	0.2139
126	0.189
127	0.2276
128	0.188
129	0.1829
130	0.206
131	0.1981
132	0.224
133	0.1853
134	0.1907
135	0.1972
136	0.2122
137	0.1949
138	0.1834
139	0.1826
140	0.2051
141	0.2099
142	0.1867
143	0.1981
144	0.1976
145	0.2004
146	0.1939
147	0.2077
148	0.2056
149	0.2014
150	0.18
151	0.1949
152	0.1936
153	0.1858
154	0.1835
155	0.1835
156	0.1835
157	0.1738
158	0.1991
159	0.1809
160	0.1999
161	0.2014
162	0.2015
163	0.1882
164	0.2018
165	0.1934
166	0.1768
167	0.1697
168	0.2172
169	0.1976
170	0.1688
171	0.1677
172	0.1813
173	0.198
174	0.1985
175	0.179
176	0.2054
177	0.1819
178	0.2034
179	0.1954
180	0.1714
181	0.2002
182	0.1981
183	0.2006
184	0.2019
185	0.2161
186	0.1799
187	0.1869
188	0.1907
189	0.1991
190	0.2135
191	0.1912
192	0.2168
193	0.1965
194	0.1743
195	0.1898
196	0.1884
197	0.1795
198	0.184
199	0.1986
200	0.1716
201	0.2042
202	0.1843
203	0.1829
204	0.1907
205	0.1846
206	0.2104
207	0.1848
208	0.2049
209	0.1806
210	0.2158
211	0.1772
212	0.1851
213	0.1998
214	0.2146
215	0.1823
216	0.205
217	0.1996
218	0.1895
219	0.1968
220	0.1967
221	0.1847
222	0.1942
223	0.2056
224	0.192
225	0.195
226	0.1909
227	0.2054
228	0.1856
229	0.1923
230	0.1989
231	0.2011
232	0.1865
233	0.1962
234	0.174
235	0.1824
236	0.2016
237	0.1929
238	0.2053
239	0.1905
240	0.2134
241	0.1757
242	0.1789
243	0.1882
244	0.1901
245	0.1911
246	0.2125
247	0.2016
248	0.2215
249	0.2002
250	0.171
251	0.2073
252	0.2043
253	0.1886
254	0.176
255	0.202
256	0.2177
257	0.1812
258	0.1957
259	0.1887
260	0.1895
261	0.1917
262	0.166
263	0.1953
264	0.1996
265	0.2159
266	0.1816
267	0.2073
268	0.1823
269	0.2076
270	0.1839
271	0.1908
272	0.2025
273	0.1936
274	0.1777
275	0.202
276	0.1976
277	0.2118
278	0.2134
279	0.2051
280	0.1813
281	0.2053
282	0.1774
283	0.1894
284	0.1878
285	0.1996
286	0.2172
287	0.2059
288	0.2007
289	0.1821
290	0.1865
291	0.188
292	0.2166
293	0.1774
294	0.209
295	0.2036
296	0.2085
297	0.1993
298	0.1784
299	0.1964
300	0.1917
301	0.1991
302	0.2217
303	0.2011
304	0.1931
305	0.1989
306	0.1829
307	0.1794
308	0.2129
309	0.1929
310	0.1922
311	0.1892
312	0.1867
313	0.2069
314	0.187
315	0.1886
316	0.2075
317	0.1741
318	0.1836
319	0.2303
320	0.1946
321	0.1888
322	0.1845
323	0.2018
324	0.2002
325	0.1937
326	0.1938
327	0.1987
328	0.2039
329	0.1856
330	0.2204
331	0.1935
332	0.1752
333	0.1899
334	0.2012
335	0.1969
336	0.1896
337	0.1776
338	0.2042
339	0.1805
340	0.1806
341	0.1946
342	0.2056
343	0.1949
344	0.2023
345	0.1951
346	0.2115
347	0.1961
348	0.1788
349	0.2064
350	0.1918
351	0.1754
352	0.1592
353	0.1937
354	0.2037
355	0.199
356	0.1917
357	0.2046
358	0.2095
359	0.1817
360	0.1989
361	0.1884
362	0.2053
363	0.2069
364	0.181
365	0.2103
366	0.1965
367	0.1974
368	0.1609
369	0.1663
370	0.1647
371	0.2212
372	0.189
373	0.1919
374	0.243
375	0.2184
376	0.2217
377	0.1985
378	0.2044
379	0.2606
380	0.2337
381	0.1688
382	0.1792
383	0.1704
384	0.2206
385	0.2248
386	0.2343
387	0.2491
388	0.1841
389	0.1869
390	0.1511
391	0.2038
392	0.2238
393	0.2195
394	0.1924
395	0.2251
396	0.1756
397	0.1766
398	0.2243
399	0.1694
400	0.1791
401	0.2114
402	0.2073
403	0.2079
404	0.2343
405	0.2132
406	0.1937
407	0.2019
408	0.1599
409	0.1992
410	0.1847
411	0.2056
412	0.197
413	0.1828
414	0.1728
415	0.1808
416	0.2075
417	0.1839
418	0.2057
419	0.2117
420	0.1914
421	0.1871
422	0.1735
423	0.1846
424	0.201
425	0.1936
426	0.2069
427	0.1713
428	0.212
429	0.1764
430	0.207
431	0.1865
432	0.2097
433	0.1981
434	0.1982
435	0.2033
436	0.2211
437	0.2094
438	0.1765
439	0.2113
440	0.1704
441	0.2342
442	0.1851
443	0.1824
444	0.2316
445	0.1781
446	0.2116
447	0.1967
448	0.194
449	0.1933
450	0.2313
451	0.1716
452	0.2001
453	0.1819
454	0.2136
455	0.1833
456	0.1917
457	0.1883
458	0.1973
459	0.183
460	0.2097
461	0.1815
462	0.1738
463	0.2078
464	0.1778
465	0.1847
466	0.2022
467	0.1805
468	0.2138
469	0.186
470	0.2287
471	0.1639
472	0.18
473	0.1809
474	0.194
475	0.2136
476	0.2286
477	0.1962
478	0.1817
479	0.1867
480	0.2188
481	0.1959
482	0.1918
483	0.1885
484	0.1797
485	0.236
486	0.1983
487	0.1953
488	0.2258
489	0.1721
490	0.1936
491	0.1808
492	0.2117
493	0.1876
494	0.2077
495	0.1964
496	0.2038
497	0.2161
498	0.1889
499	0.1763
500	0.1982
501	0.2038
502	0.2188
503	0.1999
504	0.235
505	0.2212
506	0.2187
507	0.1758
508	0.1942
509	0.2002
510	0.2203
511	0.2265
512	0.2062
513	0.1635
514	0.1935
515	0.175
516	0.1806
517	0.1885
518	0.1883
519	0.1742
520	0.1792
521	0.2033
522	0.2196
523	0.2176
524	0.2156
525	0.1997
526	0.2029
527	0.1958
528	0.2032
529	0.2066
530	0.2057
531	0.1886
532	0.2181
533	0.1966
534	0.2093
535	0.203
536	0.2169
537	0.2005
538	0.2138
539	0.2112
540	0.191
541	0.181
542	0.2063
543	0.2139
544	0.182
545	0.2119
546	0.1978
547	0.2182
548	0.1913
549	0.1961
550	0.2006
551	0.1768
552	0.1763
553	0.2146
554	0.1918
555	0.1832
556	0.1697
557	0.1987
558	0.2053
559	0.2024
560	0.2016
561	0.2107
562	0.1694
563	0.1979
564	0.1749
565	0.1798
566	0.1778
567	0.1808
568	0.1765
569	0.2008
570	0.1944
571	0.194
572	0.187
573	0.2006
574	0.1986
575	0.2153
576	0.2188
577	0.2196
578	0.1869
579	0.1794
580	0.1999
581	0.2028
582	0.2228
583	0.2009
584	0.1876
585	0.2125
586	0.2275
587	0.1997
588	0.195
589	0.1801
590	0.1725
591	0.2055
592	0.1721
593	0.2289
594	0.2146
595	0.206
596	0.1932
597	0.1972
598	0.1718
599	0.1789
600	0.2135
601	0.207
602	0.2036
603	0.2197
604	0.2178
605	0.2216
606	0.1905
607	0.2247
608	0.2061
609	0.1855
610	0.1984
611	0.1944
612	0.1901
613	0.2034
614	0.2137
615	0.1904
616	0.1839
617	0.1957
618	0.2009
619	0.2044
620	0.2113
621	0.1866
622	0.1717
623	0.2046
624	0.208
625	0.1882
626	0.1795
627	0.2544
628	0.1928
629	0.1834
630	0.2125
631	0.2053
632	0.1993
633	0.1753
634	0.2031
635	0.1807
636	0.2065
637	0.2098
638	0.1995
639	0.2132
640	0.2038
641	0.2178
642	0.2125
643	0.1836
644	0.1945
645	0.2078
646	0.191
647	0.1835
648	0.193
649	0.2224
650	0.2032
651	0.21
652	0.1992
653	0.2175
654	0.1911
655	0.2068
656	0.2027
657	0.1939
658	0.1984
659	0.2068
660	0.183
661	0.2143
662	0.1974
663	0.1756
664	0.2068
665	0.1906
666	0.2012
667	0.2132
668	0.2101
669	0.2101
670	0.1926
671	0.2124
672	0.2478
673	0.205
674	0.1881
675	0.1964
676	0.2097
677	0.1899
678	0.2109
679	0.1947
680	0.2145
681	0.1655
682	0.197
683	0.1635
684	0.2032
685	0.1982
686	0.1815
687	0.2189
688	0.1998
689	0.2318
690	0.2241
691	0.2273
692	0.2042
693	0.1717
694	0.1594
695	0.1826
696	0.2543
697	0.241
698	0.2171
699	0.1923
700	0.247
701	0.2529
702	0.2198
703	0.2381
704	0.2158
705	0.1731
706	0.2051
707	0.207
708	0.2292
709	0.218
710	0.2182
711	0.2153
712	0.1968
713	0.1643
714	0.2015
715	0.2114
716	0.1788
717	0.1948
718	0.2167
719	0.1826
720	0.173
721	0.2414
722	0.1954
723	0.1612
724	0.1866
725	0.1753
726	0.205
727	0.2114
728	0.1852
729	0.2026
730	0.2146
731	0.1929
732	0.1966
733	0.1541
734	0.1945
735	0.2321
736	0.2062
737	0.2095
738	0.2295
