Age [a] (b2k),Depth ice/snow [m] (NGRIP1),Depth ice/snow [m] (NGRIP2),MCE [a],comb_ngrip
3245,580.81,,4,580.81
3246,580.91,,4,580.91
3247,581.06,,4,581.06
3248,581.2,,4,581.2
3249,581.35,,4,581.35
3250,581.53,,4,581.53
3251,581.7,,4,581.7
3252,581.83,,4,581.83
3253,582.01,,4,582.01
3254,582.18,,4,582.18
3255,582.38,,4,582.38
3256,582.53,,4,582.53
3257,582.69,,4,582.69
3258,582.87,,4,582.87
3259,583.05,,4,583.05
3260,583.19,,4,583.19
3261,583.34,,4,583.34
3262,583.47,,4,583.47
3263,583.66,,4,583.66
3264,583.84,,4,583.84
3265,583.98,,4,583.98
3266,584.13,,4,584.13
3267,584.31,,4,584.31
3268,584.46,,4,584.46
3269,584.61,,4,584.61
3270,584.72,,4,584.72
3271,584.87,,4,584.87
3272,585.0,,4,585.0
3273,585.19,,4,585.19
3274,585.31,,4,585.31
3275,585.48,,4,585.48
3276,585.65,,4,585.65
3277,585.81,,4,585.81
3278,585.99,,4,585.99
3279,586.14,,4,586.14
3280,586.34,,4,586.34
3281,586.5,,4,586.5
3282,586.65,,4,586.65
3283,586.86,,4,586.86
3284,587.05,,4,587.05
3285,587.21,,4,587.21
3286,587.38,,4,587.38
3287,587.54,,4,587.54
3288,587.68,,4,587.68
3289,587.84,,4,587.84
3290,587.97,,4,587.97
3291,588.12,,4,588.12
3292,588.25,,4,588.25
3293,588.41,,4,588.41
3294,588.55,,4,588.55
3295,588.72,,4,588.72
3296,588.86,,4,588.86
3297,589.03,,4,589.03
3298,589.19,,4,589.19
3299,589.34,,4,589.34
3300,589.48,,4,589.48
3301,589.63,,4,589.63
3302,589.77,,4,589.77
3303,589.86,,4,589.86
3304,590.0,,4,590.0
3305,590.1,,4,590.1
3306,590.22,,4,590.22
3307,590.34,,4,590.34
3308,590.46,,4,590.46
3309,590.59,,4,590.59
3310,590.77,,4,590.77
3311,590.91,,4,590.91
3312,591.09,,4,591.09
3313,591.25,,4,591.25
3314,591.42,,4,591.42
3315,591.58,,4,591.58
3316,591.74,,4,591.74
3317,591.88,,4,591.88
3318,592.03,,4,592.03
3319,592.15,,4,592.15
3320,592.26,,4,592.26
3321,592.42,,4,592.42
3322,592.56,,4,592.56
3323,592.67,,4,592.67
3324,592.82,,4,592.82
3325,592.96,,4,592.96
3326,593.08,,4,593.08
3327,593.24,,4,593.24
3328,593.42,,4,593.42
3329,593.64,,4,593.64
3330,593.81,,4,593.81
3331,594.0,,4,594.0
3332,594.19,,4,594.19
3333,594.34,,4,594.34
3334,594.47,,4,594.47
3335,594.64,,4,594.64
3336,594.81,,4,594.81
3337,594.99,,4,594.99
3338,595.2,,4,595.2
3339,595.34,,4,595.34
3340,595.5,,4,595.5
3341,595.65,,4,595.65
3342,595.82,,4,595.82
3343,595.94,,4,595.94
3344,596.11,,4,596.11
3345,596.2,,4,596.2
3346,596.34,,4,596.34
3347,596.5,,4,596.5
3348,596.65,,4,596.65
3349,596.8,,4,596.8
3350,596.99,,4,596.99
3351,597.12,,4,597.12
3352,597.28,,4,597.28
3353,597.5,,4,597.5
3354,597.67,,4,597.67
3355,597.81,,4,597.81
3356,597.9,,4,597.9
3357,598.05,,4,598.05
3358,598.21,,4,598.21
3359,598.32,,4,598.32
3360,598.44,,4,598.44
3361,598.56,,4,598.56
3362,598.7,,4,598.7
3363,598.85,,4,598.85
