#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
9.9	38.817	100	0.01
38.817	62.275	100	0.01
62.275	83.115	100	0.01
83.115	102.805	100	0.01
102.805	121.735	100	0.01
121.735	140.655	100	0.01
140.655	158.985	100	0.01
158.985	177.57675	100	0.9165151389911701
177.57675	195.92875	100	0.4345115508957602
195.92875	213.8075	100	0.32508290376173
213.8075	231.8075	100	0.2713974926131302
231.8075	249.5675	100	0.23785831296514015
249.5675	267.141	100	0.2143376401643895
267.141	284.6375	100	0.19666204163483947
284.6375	302.3825	100	0.18274953433951957
302.3825	319.7525	100	0.1714286042393205
319.7525	336.8525	100	0.1619824721429204
336.8525	353.661	100	0.15394456133582946
353.661	370.853	100	0.14699628841693002
370.853	387.95	100	0.14091167782208025
387.95	404.849	100	0.1355253817606794
404.849	421.071	100	0.13071324366596038
421.071	437.353	100	0.12637997482694008
437.353	453.523	100	0.12245105825776026
453.523	469.819	100	0.11886726603381081
469.819	485.793	100	0.11558084798662005
485.793	501.501	100	0.11255282104553999
501.501	517.475	100	0.10975100221623979
517.475	533.53	100	0.10714855548681967
533.53	549.39	100	0.10472290113131066
549.39	564.64	100	0.10245488520663049
564.64	579.92	100	0.10032813892093007
579.92	593.24	100	-2.9849774322458096
593.24	609.01	100	0.01
609.01	623.95	100	1.0
623.95	638.94	100	0.01
638.94	654.19	100	0.01
654.19	669.04	100	0.01
669.04	683.72	100	1.0
683.72	698.58	100	0.01
698.58	713.94	100	1.0
713.94	727.9	100	0.01
727.9	742.03	100	1.0
742.03	756.28	100	0.01
756.28	769.16	100	1.0
769.16	783.32	100	0.01
783.32	796.51	100	1.0
796.51	810.64	100	0.01
810.64	823.65	100	1.0
823.65	837.12	100	0.01
837.12	851.06	100	1.0
851.06	865.0	100	0.01
865.0	878.1	100	1.0
878.1	891.38	100	0.01
891.38	904.81	100	1.0
904.81	917.8	100	0.01
917.8	930.44	100	1.0
930.44	943.17	100	0.01
943.17	956.42	100	1.0
956.42	968.83	100	0.01
968.83	980.93	100	1.0
980.93	993.29	100	0.01
993.29	1006.29	100	1.0
1006.29	1019.06	100	0.01
1019.06	1031.04	100	1.0
1031.04	1043.11	100	0.01
1043.11	1055.75	100	1.0
1055.75	1068.22	100	0.01
1068.22	1080.57	100	1.0
1080.57	1092.06	100	2.0
1092.06	1104.39	100	2.0
1104.39	1116.03	100	2.0
1116.03	1127.67	100	2.0
1127.67	1139.33	100	2.0
1139.33	1150.88	100	2.0
1150.88	1162.88	100	2.0
1162.88	1173.98	100	2.0
1173.98	1185.54	100	2.0
1185.54	1196.94	100	2.0
1196.94	1207.93	100	2.0
1207.93	1218.27	100	2.0
1218.27	1227.87	100	2.0
1227.87	1237.88	100	2.0
1237.88	1247.28	100	2.0
1247.28	1257.17	100	2.0
1257.17	1266.82	100	2.0
1266.82	1276.21	100	2.0
1276.21	1285.71	100	2.0
1285.71	1294.64	100	2.0
1294.64	1303.98	100	2.0
1303.98	1312.72	100	2.0
1312.72	1321.55	100	2.0
1321.55	1329.8	100	2.0
1329.8	1338.45	100	2.0
1338.45	1346.42	100	2.0
1346.42	1354.64	100	2.0
1354.64	1362.63	100	2.0
1362.63	1370.83	100	2.0
1370.83	1378.76	100	2.0
1378.76	1386.42	100	2.0
1386.42	1393.7	100	2.0
1393.7	1401.09	100	2.0
1401.09	1408.453	100	1.0
1408.453	1415.299	100	1.0
1415.299	1421.997	100	0.01
1421.997	1428.68	100	1.0
1428.68	1435.254	100	1.0
1435.254	1441.61	100	0.01
1441.61	1447.929	100	1.0
1447.929	1454.003	100	1.0
1454.003	1460.014	100	1.0
1460.014	1465.945	100	0.01
1465.945	1471.928	100	1.0
1471.928	1477.522	100	1.0
1477.522	1482.716	100	0.01
1482.716	1488.539	100	1.0
1488.539	1493.169	100	1.0
1493.169	1496.294	100	4.0
1496.294	1499.16	100	3.0
1499.16	1502.059	100	3.0
1502.059	1504.98	100	3.0
1504.98	1507.691	100	4.0
1507.691	1510.466	100	3.0
1510.466	1513.166	100	3.0
1513.166	1516.036	100	3.0
1516.036	1518.567	100	3.0
1518.567	1521.458	100	3.0
1521.458	1524.229	100	3.0
1524.229	1527.71	100	3.0
