depth	thinning
8	0.9955
9	0.9953
10	0.9951
11	0.9948
12	0.9946
13	0.9944
14	0.9942
15	0.9941
16	0.9938
17	0.9936
18	0.9933
19	0.9932
20	0.993
21	0.9927
22	0.9924
23	0.9923
24	0.992
25	0.9918
26	0.9915
27	0.9913
28	0.9911
29	0.991
30	0.9908
31	0.9906
32	0.9905
33	0.9903
34	0.9902
35	0.9901
36	0.9902
37	0.9901
38	0.9901
39	0.99
40	0.9899
41	0.9898
42	0.9898
43	0.9897
44	0.9897
45	0.9896
46	0.9895
47	0.9894
48	0.9892
49	0.989
50	0.9889
51	0.9887
52	0.9884
53	0.9882
54	0.988
55	0.9876
56	0.9873
57	0.987
58	0.9866
59	0.9862
60	0.9857
61	0.9854
62	0.985
63	0.9845
64	0.9841
65	0.9837
66	0.9833
67	0.9828
68	0.9825
69	0.982
70	0.9816
71	0.9813
72	0.9808
73	0.9805
74	0.9801
75	0.9796
76	0.9793
77	0.9789
78	0.9786
79	0.9782
80	0.9778
81	0.9776
82	0.9772
83	0.9769
84	0.9765
85	0.9763
86	0.976
87	0.9756
88	0.9753
89	0.9749
90	0.9744
91	0.974
92	0.9735
93	0.9731
94	0.9725
95	0.9719
96	0.9713
97	0.9707
98	0.97
99	0.9693
100	0.9686
101	0.968
102	0.9674
103	0.9669
104	0.9664
105	0.9658
106	0.9653
107	0.9649
108	0.9645
109	0.9641
110	0.9639
111	0.9636
112	0.9633
113	0.963
114	0.9627
115	0.9625
116	0.9622
117	0.962
118	0.9618
119	0.9616
120	0.9614
121	0.9611
122	0.9608
123	0.9605
124	0.9601
125	0.9598
126	0.9594
127	0.959
128	0.9586
129	0.9583
130	0.9578
131	0.9574
132	0.9569
133	0.9564
134	0.956
135	0.9555
136	0.9551
137	0.9547
138	0.9543
139	0.9538
140	0.9534
141	0.953
142	0.9526
143	0.9522
144	0.9518
145	0.9514
146	0.951
147	0.9506
148	0.9502
149	0.9497
150	0.9493
151	0.9489
152	0.9485
153	0.9481
154	0.9477
155	0.9473
156	0.947
157	0.9466
158	0.9463
159	0.9461
160	0.9458
161	0.9455
162	0.9452
163	0.9449
164	0.9445
165	0.9442
166	0.9438
167	0.9434
168	0.9429
169	0.9424
170	0.9418
171	0.9413
172	0.9407
173	0.9401
174	0.9395
175	0.9388
176	0.9383
177	0.9378
178	0.9373
179	0.9369
180	0.9365
181	0.9361
182	0.9358
183	0.9355
184	0.9352
185	0.9349
186	0.9347
187	0.9344
188	0.9341
189	0.9338
190	0.9334
191	0.933
192	0.9326
193	0.9323
194	0.9319
195	0.9315
196	0.9311
197	0.9307
198	0.9304
199	0.93
200	0.9297
201	0.9294
202	0.9291
203	0.9287
204	0.9284
205	0.9281
206	0.9277
207	0.9274
208	0.927
209	0.9266
210	0.9262
211	0.9258
212	0.9253
213	0.9248
214	0.9243
215	0.9238
216	0.9233
217	0.9227
218	0.9221
219	0.9214
220	0.9209
221	0.9203
222	0.9198
223	0.9194
224	0.919
225	0.9186
226	0.9183
227	0.918
228	0.9178
229	0.9177
230	0.9176
231	0.9174
232	0.9172
233	0.917
234	0.9167
235	0.9163
236	0.9159
237	0.9154
238	0.9148
239	0.9141
240	0.9134
241	0.9127
242	0.9121
243	0.9115
244	0.911
245	0.9106
246	0.9103
247	0.9101
248	0.9099
249	0.9098
250	0.9098
251	0.9098
252	0.9097
253	0.9096
254	0.9095
255	0.9092
256	0.9089
257	0.9086
258	0.9081
259	0.9076
260	0.907
261	0.9064
262	0.9058
263	0.9052
264	0.9046
265	0.9041
266	0.9036
267	0.9032
268	0.9028
269	0.9024
270	0.902
271	0.9017
272	0.9014
273	0.9012
274	0.9009
275	0.9006
276	0.9003
277	0.9
278	0.8997
279	0.8993
280	0.899
281	0.8986
282	0.8982
283	0.8978
284	0.8974
285	0.8969
286	0.8964
287	0.8958
288	0.8953
289	0.8947
290	0.8941
291	0.8935
292	0.8929
293	0.8924
294	0.8919
295	0.8914
296	0.8909
297	0.8905
298	0.8902
299	0.8899
300	0.8896
301	0.8893
302	0.889
303	0.8887
304	0.8884
305	0.888
306	0.8876
307	0.8872
308	0.8867
309	0.8862
310	0.8857
311	0.8851
312	0.8846
313	0.884
314	0.8835
315	0.883
316	0.8825
317	0.8821
318	0.8817
319	0.8813
320	0.8809
321	0.8805
322	0.8802
323	0.8798
324	0.8794
325	0.8791
326	0.8787
327	0.8783
328	0.8779
329	0.8776
330	0.8772
331	0.8768
332	0.8764
333	0.8761
334	0.8757
335	0.8754
336	0.8751
337	0.8748
338	0.8744
339	0.8741
340	0.8737
341	0.8734
342	0.8731
343	0.8727
344	0.8723
345	0.872
346	0.8716
347	0.8713
348	0.8709
349	0.8706
350	0.8703
351	0.87
352	0.8697
353	0.8694
354	0.8691
355	0.8688
356	0.8685
357	0.8681
358	0.8677
359	0.8673
360	0.8668
361	0.8663
362	0.8658
363	0.8652
364	0.8646
365	0.864
366	0.8634
367	0.8629
368	0.8623
369	0.8619
370	0.8614
371	0.861
372	0.8606
373	0.8603
374	0.86
375	0.8597
376	0.8594
377	0.8591
378	0.8588
379	0.8585
380	0.8581
381	0.8578
382	0.8575
383	0.8571
384	0.8568
385	0.8564
386	0.856
387	0.8557
388	0.8553
389	0.8549
390	0.8545
391	0.854
392	0.8536
393	0.8531
394	0.8526
395	0.8522
396	0.8517
397	0.8513
398	0.8509
399	0.8505
400	0.8502
401	0.8498
402	0.8495
403	0.8492
404	0.849
405	0.8487
406	0.8485
407	0.8481
408	0.8477
409	0.8473
410	0.8468
411	0.8462
412	0.8457
413	0.8451
414	0.8444
415	0.8438
416	0.8432
417	0.8427
418	0.8423
419	0.8419
420	0.8416
421	0.8414
422	0.8412
423	0.8411
424	0.8411
425	0.8411
426	0.8411
427	0.8409
428	0.8407
429	0.8403
430	0.8399
431	0.8394
432	0.8388
433	0.8382
434	0.8374
435	0.8367
436	0.836
437	0.8354
438	0.8347
439	0.8342
440	0.8336
441	0.8331
442	0.8327
443	0.8323
444	0.8319
445	0.8315
446	0.8312
447	0.8308
448	0.8304
449	0.8301
450	0.8297
451	0.8293
452	0.8289
453	0.8286
454	0.8282
455	0.8278
456	0.8274
457	0.827
458	0.8266
459	0.8261
460	0.8257
461	0.8252
462	0.8247
463	0.8241
464	0.8236
465	0.8231
466	0.8227
467	0.8223
468	0.8219
469	0.8216
470	0.8211
471	0.8208
472	0.8205
473	0.8203
474	0.8201
475	0.8198
476	0.8196
477	0.8193
478	0.819
479	0.8186
480	0.8183
481	0.8178
482	0.8174
483	0.8169
484	0.8164
485	0.8159
486	0.8155
487	0.815
488	0.8146
489	0.8143
490	0.8139
491	0.8136
492	0.8133
493	0.8131
494	0.8128
495	0.8126
496	0.8123
497	0.8121
498	0.8118
499	0.8115
500	0.8112
501	0.8108
502	0.8104
503	0.81
504	0.8096
505	0.8092
506	0.8088
507	0.8084
508	0.808
509	0.8075
510	0.8071
511	0.8067
512	0.8063
513	0.8058
514	0.8054
515	0.805
516	0.8045
517	0.8041
518	0.8036
519	0.8031
520	0.8026
521	0.8022
522	0.8017
523	0.8012
524	0.8008
525	0.8004
526	0.7999
527	0.7995
528	0.7991
529	0.7987
530	0.7982
531	0.7978
532	0.7974
533	0.797
534	0.7965
535	0.7961
536	0.7956
537	0.7952
538	0.7947
539	0.7942
540	0.7938
541	0.7933
542	0.7929
543	0.7925
544	0.7921
545	0.7917
546	0.7914
547	0.7911
548	0.7907
549	0.7905
550	0.7902
551	0.7899
552	0.7895
553	0.7892
554	0.7888
555	0.7885
556	0.7881
557	0.7877
558	0.7873
559	0.7868
560	0.7864
561	0.786
562	0.7856
563	0.7851
564	0.7847
565	0.7843
566	0.7839
567	0.7835
568	0.7831
569	0.7826
570	0.7822
571	0.7818
572	0.7814
573	0.781
574	0.7806
575	0.7802
576	0.7799
577	0.7795
578	0.7791
579	0.7787
580	0.7784
581	0.778
582	0.7776
583	0.7772
584	0.7769
585	0.7765
586	0.7761
587	0.7757
588	0.7753
589	0.7749
590	0.7745
591	0.7741
592	0.7736
593	0.7732
594	0.7728
595	0.7723
596	0.7719
597	0.7715
598	0.7711
599	0.7706
600	0.7702
601	0.7698
602	0.7693
603	0.7689
604	0.7685
605	0.768
606	0.7676
607	0.7671
608	0.7667
609	0.7663
610	0.7658
611	0.7654
612	0.765
613	0.7645
614	0.7641
615	0.7637
616	0.7633
617	0.7629
618	0.7625
619	0.7621
620	0.7617
621	0.7613
622	0.7609
623	0.7605
624	0.7601
625	0.7598
626	0.7594
627	0.759
628	0.7587
629	0.7583
630	0.7579
631	0.7575
632	0.7571
633	0.7567
634	0.7563
635	0.7559
636	0.7555
637	0.7551
638	0.7547
639	0.7543
640	0.7539
641	0.7535
642	0.7531
643	0.7527
644	0.7523
645	0.7519
646	0.7516
647	0.7512
648	0.7508
649	0.7504
650	0.75
651	0.7496
652	0.7493
653	0.7489
654	0.7485
655	0.7482
656	0.7478
657	0.7474
658	0.7471
659	0.7467
660	0.7463
661	0.7459
662	0.7456
663	0.7452
664	0.7448
665	0.7444
666	0.744
667	0.7436
668	0.7432
669	0.7428
670	0.7424
671	0.742
672	0.7416
673	0.7413
674	0.741
675	0.7407
676	0.7404
677	0.7402
678	0.7399
679	0.7396
680	0.7393
681	0.7389
682	0.7385
683	0.7381
684	0.7376
685	0.7371
686	0.7366
687	0.736
688	0.7355
689	0.735
690	0.7345
691	0.734
692	0.7335
693	0.733
694	0.7325
695	0.7321
696	0.7316
697	0.7311
698	0.7306
699	0.7302
700	0.7297
701	0.7292
702	0.7288
703	0.7283
704	0.7279
705	0.7274
706	0.727
707	0.7265
708	0.7261
709	0.7257
710	0.7252
711	0.7248
712	0.7244
713	0.724
714	0.7236
715	0.7232
716	0.7228
717	0.7224
718	0.7221
719	0.7217
720	0.7214
721	0.721
722	0.7207
723	0.7203
724	0.72
725	0.7197
726	0.7193
727	0.719
728	0.7187
729	0.7183
730	0.718
731	0.7177
732	0.7174
733	0.717
734	0.7166
735	0.7162
736	0.7158
737	0.7154
738	0.7149
739	0.7145
740	0.7141
741	0.7137
742	0.7133
743	0.7129
744	0.7125
745	0.7121
746	0.7117
747	0.7113
748	0.7109
749	0.7105
750	0.7101
751	0.7098
752	0.7094
753	0.709
754	0.7086
755	0.7082
756	0.7078
757	0.7074
758	0.7069
759	0.7065
760	0.7061
761	0.7057
762	0.7053
763	0.7049
764	0.7045
765	0.704
766	0.7036
767	0.7032
768	0.7028
769	0.7023
770	0.7019
771	0.7015
772	0.7011
773	0.7006
774	0.7002
775	0.6998
776	0.6993
777	0.6989
778	0.6984
779	0.698
780	0.6975
781	0.6971
782	0.6966
783	0.6962
784	0.6957
785	0.6953
786	0.6948
787	0.6944
788	0.6939
789	0.6935
790	0.6931
791	0.6927
792	0.6922
793	0.6918
794	0.6914
795	0.691
796	0.6906
797	0.6902
798	0.6899
799	0.6895
800	0.6891
801	0.6887
802	0.6884
803	0.688
804	0.6876
805	0.6872
806	0.6869
807	0.6865
808	0.6862
809	0.6858
810	0.6854
811	0.685
812	0.6846
813	0.6842
814	0.6838
815	0.6834
816	0.683
817	0.6827
818	0.6823
819	0.6819
820	0.6816
821	0.6812
822	0.6809
823	0.6805
824	0.6802
825	0.6798
826	0.6795
827	0.6791
828	0.6788
829	0.6784
830	0.678
831	0.6777
832	0.6773
833	0.6769
834	0.6765
835	0.6761
836	0.6757
837	0.6753
838	0.6749
839	0.6745
840	0.6741
841	0.6737
842	0.6733
843	0.6729
844	0.6724
845	0.672
846	0.6716
847	0.6712
848	0.6707
849	0.6703
850	0.6699
851	0.6695
852	0.6691
853	0.6687
854	0.6683
855	0.6679
856	0.6675
857	0.6671
858	0.6667
859	0.6663
860	0.6659
861	0.6655
862	0.6651
863	0.6647
864	0.6643
865	0.664
866	0.6636
867	0.6632
868	0.6628
869	0.6624
870	0.662
871	0.6617
872	0.6613
873	0.6609
874	0.6605
875	0.66
876	0.6596
877	0.6592
878	0.6588
879	0.6583
880	0.6579
881	0.6574
882	0.657
883	0.6566
884	0.6561
885	0.6557
886	0.6553
887	0.6548
888	0.6544
889	0.654
890	0.6536
891	0.6531
892	0.6527
893	0.6523
894	0.6519
895	0.6515
896	0.6511
897	0.6507
898	0.6503
899	0.65
900	0.6496
901	0.6492
