#depth	accumulation (m ice equiv)	error (%)
depth	deporate	rel_unc	comment
0.767	0.2144	0.09328358208955224
5.135	0.2175	0.09195402298850575
9.293	0.2173	0.09203865623561897
12.999	0.2138	0.09354536950420955
16.302	0.2136	0.09363295880149812
19.527	0.2164	0.09242144177449169
22.842	0.2187	0.09144947416552354
26.058	0.2219	0.09013068949977468
29.069	0.2176	0.09191176470588236
32.102	0.2175	0.09195402298850575
34.737	0.2225	0.0898876404494382
37.914	0.2228	0.08976660682226212
40.707	0.2227	0.08980691513246519
43.804	0.2152	0.0929368029739777
46.306	0.2194	0.09115770282588878
48.727	0.2118	0.09442870632672333
51.447	0.2185	0.09153318077803203
54.019	0.2232	0.08960573476702509
56.693	0.2221	0.090049527239982
59.346	0.2191	0.09128251939753537
61.766	0.2172	0.09208103130755065
64.201	0.2191	0.09128251939753537
66.764	0.2235	0.0894854586129754
69.254	0.228	0.08771929824561403
71.786	0.2187	0.09144947416552354
74.14	0.2121	0.0942951438000943
76.445	0.2154	0.09285051067780872
78.748	0.2167	0.09229349330872173
81.113	0.2198	0.09099181073703368
83.447	0.2183	0.09161704076958314
85.688	0.2184	0.09157509157509157
88.021	0.2152	0.0929368029739777
90.337	0.2137	0.09358914365933552
92.516	0.2187	0.09144947416552354
94.768	0.2295	0.08714596949891068
97.235	0.2338	0.0855431993156544
99.931	0.2386	0.08382229673093043
102.253	0.2337	0.08557980316645272
104.594	0.2317	0.08631851532153648
106.973	0.227	0.0881057268722467
109.331	0.2363	0.08463817181548879
111.665	0.2336	0.08561643835616438
114.235	0.2331	0.0858000858000858
116.372	0.2332	0.08576329331046313
118.848	0.2303	0.08684324793747286
121.083	0.2325	0.08602150537634408
123.5	0.236	0.08474576271186442
125.947	0.2338	0.0855431993156544
128.159	0.2292	0.08726003490401397
130.44	0.2216	0.09025270758122744
132.571	0.2281	0.08768084173608066
134.78	0.234	0.08547008547008547
137.398	0.2313	0.08646779074794639
139.577	0.2312	0.08650519031141869
141.78	0.2211	0.09045680687471733
144.021	0.2248	0.08896797153024912
146.081	0.2246	0.08904719501335709
148.409	0.2302	0.08688097306689836
150.706	0.2346	0.08525149190110827
153.065	0.2429	0.08233841086867023
155.464	0.2459	0.08133387555917039
157.915	0.2388	0.08375209380234505
160.188	0.233	0.08583690987124463
