#WD	WD	EDML	EDML	EDC	EDC	DF	DF	TAL 	TAL	SP	SP
#depth	unc	depth	unc	depth	unc	depth	unc	depth	unc	depth	unc
117.36	30.00							98.34	38.36	135.36	14.57
119.59	30.00			104.14	33.16						
171.96	30.00									153.58	15.20
324.36	30.00					134.62	161.29				
357.59	30.00									213.16	16.67
388.74	30.00									221.17	42.07
503.50	30.00									261.22	17.82
528.59	30.00									269.61	14.88
736.06	30.00									328.97	12.93
962.69	30.00									403.91	13.38
1103.56	30.00									450.56	13.10
1198.21	30.00					249.85	228.21				
1328.23	30.00									548.66	44.09
1628.09	14.04	567.87	44.72	323.31	24.11			553.95	24.94	681.06	15.97
1735.29	30.00									741.33	16.14
1945.54	30.00							682.23	25.21		
1952.39	30.00									855.24	18.16
1983.07	32.26	716.40	65.49	418.16	38.92	419.73	52.53	694.74	22.75	867.77	17.80
2097.63	52.36	766.77	69.96	443.92	80.06	447.19	44.41	736.98	45.52	923.32	43.79
2128.19	30.00									934.36	30.23
2188.49	30.00									956.36	24.87
2206.54	30.00									963.13	24.91
2259.39	20.93	829.11	60.94	475.58	113.45	481.42	57.18	785.33	27.39	985.21	26.68
2369.29	30.00	881.54	110.68								
2369.85	30.00							815.96	49.42		
2373.16	16.93									1039.86	30.54
2437.74	30.00					535.49	297.97				
2438.87	30.00			521.36	304.48						
2443.27	30.00									1080.51	59.13
2446.16	30.00	932.97	153.24								
2447.86	30.00							841.63	158.51		
2611.18	17.17									1200.79	41.25
2631.31	30.00							906.15	160.82		
2632.13	23.09	1071.57	96.21	600.02	168.65					1212.87	60.27
2632.55	30.00					618.83	243.12				
2747.26	40.59	1148.93	105.26	637.02	90.20						
2755.75	21.14	1151.91	142.52	639.24	100.05					1271.87	73.64
2787.95	64.26	1167.82	119.18	647.98	107.62	676.40	123.67			1285.43	63.71
2797.92	23.29	1173.57	73.30	650.82	148.39			952.89	124.04	1291.23	57.88
2836.59	16.18									1316.30	84.00
2844.91	24.87										
2848.40	21.19			671.12	103.70					1324.07	54.14
2875.85	69.19	1227.25	131.59	684.29	62.17	716.11	269.42	984.91	152.49	1346.76	52.83
2885.43	17.94	1232.85	94.56	688.18	50.96	724.51	106.53	990.15	116.35	1354.49	81.60
2905.58	59.42	1249.03	129.75			736.47	90.92				
2913.01	19.65	1260.36	73.83	701.99	32.56	741.68	98.15	1003.90	64.12	1379.45	33.23
2938.43	50.75	1273.28	150.19	712.64	36.67	754.33	47.08	1015.01	55.62	1400.32	46.92
2958.65	20.74	1285.49	131.64	719.57	45.75	762.87	92.72	1024.71	74.91	1417.25	38.75
2986.34	32.37	1307.30	76.25	731.69	69.65	776.47	113.76	1038.70	58.62	1443.59	34.05
2997.50	30.00					784.26	60.53				
2998.74	30.00									1457.02	27.50
3021.37	33.89	1337.18	89.11	750.63	102.24	798.38	118.30	1059.00	28.21	1476.78	17.32
3050.12	13.13	1364.17	87.02	766.41	90.22	815.79	75.51	1076.39	96.65	1507.51	20.68
3063.51	24.50			773.77	40.25			1083.06	11.45		
3066.68	20.85	1375.70	87.19	775.56	40.18					1525.23	19.76
3083.89	34.73	1392.36	143.18	784.72	26.30	837.89	110.76	1095.02	24.76	1545.31	51.58
3094.31	20.21	1403.90	125.12	790.33	128.29	844.21	120.93			1558.81	30.17
3094.83	30.00							1099.01	47.18		
3110.75	66.66	1413.54	135.47	797.09	103.11	851.88	89.70	1111.59	109.39	1575.65	25.48
3120.05	30.00									1588.15	30.80
3130.43	17.23	1437.09	118.82	808.89	54.01	864.95	92.42	1124.80	79.24	1599.17	37.22
3149.90	47.68	1452.07	171.71	820.50	66.45	877.99	140.52	1134.99	71.25	1617.15	42.74
3168.01	30.00									1633.74	22.22
3195.38	17.86	1490.08	155.02	847.40	138.76	906.65	97.78	1170.28	79.17	1660.05	32.37
3221.48	20.44	1511.17	192.89	862.47	161.31	922.66	106.08	1182.83	102.91	1684.42	28.12
3227.25	30.00									1688.43	45.18
3233.15	30.00									1695.79	26.05
3237.79	19.57			876.13	134.12	937.72	132.35	1192.05	149.42	1700.66	43.40
3243.10	64.67										
3243.75	30.00									1707.16	29.01
3252.82	30.00									1718.27	63.02
3276.42	30.00									1745.18	39.93
3277.10	30.00					965.04					
3311.31	16.62	1601.84	58.58	924.92	146.05			1228.48	32.06		
3321.28	17.69										
3322.24	15.07	1617.47	86.59								
3326.23	47.54	1621.75	67.42								
3329.83	15.29	1627.25	92.50	945.42	116.36			1239.47	31.90		
3337.99	93.49	1641.84	143.27					1244.33	90.99		
3350.44	13.70	1663.65	92.34								
3351.78	14.48										
3352.59	17.59	1667.80	93.71	970.07	162.11			1255.50	42.18		
3355.54	60.70										
3360.03	18.97	1680.67	86.17	980.39	87.56			1260.36	14.13		
3362.26	25.58	1685.86	94.67					1262.26	25.96		
3363.42	25.60	1687.61	58.69	985.71	141.92			1263.24	13.62		
3387.29	15.04			1033.59	84.33						
