#This data file has 4 columns:			
#column 1:	Depth in m below the surface		
#column 2:	"Ice age following the WD2014 chronology, in years before 1950 C.E."		
#column 3:	"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year"		
#column 4:	2 sigma accumulation uncertainty from monte-carlo simulation		
			
#Depth	Ice age	Accumulation	2 sigma uncertainty
#(m)	(years bp)	(m ice a-1)	(m ice a-1)
0.767	-55	0.2144	0.020
5.135	-45	0.2175	0.020
9.293	-35	0.2173	0.020
12.999	-25	0.2138	0.020
16.302	-15	0.2136	0.020
19.527	-5	0.2164	0.020
22.842	5	0.2187	0.020
26.058	15	0.2219	0.020
29.069	25	0.2176	0.020
32.102	35	0.2175	0.020
34.737	45	0.2225	0.020
37.914	55	0.2228	0.020
40.707	65	0.2227	0.020
43.804	75	0.2152	0.020
46.306	85	0.2194	0.020
48.727	95	0.2118	0.020
51.447	105	0.2185	0.020
54.019	115	0.2232	0.020
56.693	125	0.2221	0.020
59.346	135	0.2191	0.020
61.766	145	0.2172	0.020
64.201	155	0.2191	0.020
66.764	165	0.2235	0.020
69.254	175	0.228	0.020
71.786	185	0.2187	0.020
74.14	195	0.2121	0.020
76.445	205	0.2154	0.020
78.748	215	0.2167	0.020
81.113	225	0.2198	0.020
83.447	235	0.2183	0.020
85.688	245	0.2184	0.020
88.021	255	0.2152	0.020
90.337	265	0.2137	0.020
92.516	275	0.2187	0.020
94.768	285	0.2295	0.020
97.235	295	0.2338	0.020
99.931	305	0.2386	0.020
102.253	315	0.2337	0.020
104.594	325	0.2317	0.020
106.973	335	0.227	0.020
109.331	345	0.2363	0.020
111.665	355	0.2336	0.020
114.235	365	0.2331	0.020
116.372	375	0.2332	0.020
118.848	385	0.2303	0.020
121.083	395	0.2325	0.020
123.5	405	0.236	0.020
125.947	415	0.2338	0.020
128.159	425	0.2292	0.020
130.44	435	0.2216	0.020
132.571	445	0.2281	0.020
134.78	455	0.234	0.020
137.398	465	0.2313	0.020
139.577	475	0.2312	0.020
141.78	485	0.2211	0.020
144.021	495	0.2248	0.020
146.081	505	0.2246	0.020
148.409	515	0.2302	0.020
150.706	525	0.2346	0.020
153.065	535	0.2429	0.020
155.464	545	0.2459	0.020
157.915	555	0.2388	0.020
160.188	565	0.233	0.020
162.36	575	0.2293	0.020
164.778	585	0.235	0.020
166.909	595	0.2329	0.020
169.209	605	0.2294	0.020
171.428	615	0.23	0.020
173.67	625	0.2322	0.020
175.938	635	0.2377	0.020
178.304	645	0.2395	0.020
180.661	655	0.237	0.020
182.853	665	0.2323	0.020
185.038	675	0.2307	0.020
187.32	685	0.2311	0.020
189.672	695	0.2409	0.020
191.98	705	0.2429	0.020
194.322	715	0.2409	0.020
196.619	725	0.2413	0.020
198.972	735	0.2431	0.020
201.51	745	0.2493	0.020
203.764	755	0.249	0.020
206.138	765	0.2352	0.020
208.359	775	0.2355	0.020
210.547	785	0.2366	0.020
212.878	795	0.2423	0.020
215.317	805	0.2498	0.020
217.582	815	0.2506	0.020
220.142	825	0.2413	0.020
222.484	835	0.242	0.020
224.584	845	0.2322	0.020
226.937	855	0.232	0.020
229.048	865	0.2403	0.020
231.444	875	0.245	0.020
233.753	885	0.2532	0.020
236.247	895	0.2597	0.020
238.665	905	0.2608	0.020
241.291	915	0.2513	0.020
243.654	925	0.2552	0.020
245.93	935	0.2523	0.020
248.479	945	0.2528	0.020
250.919	955	0.2572	0.020
253.206	965	0.2478	0.020
255.624	975	0.2519	0.020
258.064	985	0.2551	0.020
260.438	995	0.2597	0.020
262.954	1005	0.2638	0.020
265.558	1015	0.2666	0.020
268.02	1025	0.262	0.020
270.416	1035	0.2509	0.020
272.67	1045	0.2544	0.020
275.131	1055	0.2567	0.020
277.549	1065	0.2644	0.020
280.153	1075	0.2601	0.020
282.44	1085	0.2506	0.020
284.847	1095	0.2496	0.020
287.079	1105	0.2468	0.020
289.453	1115	0.2483	0.020
291.849	1125	0.2464	0.020
294.103	1135	0.2481	0.020
296.335	1145	0.2454	0.020
298.764	1155	0.2467	0.020
301.061	1165	0.2522	0.020
303.457	1175	0.2485	0.020
305.875	1185	0.2561	0.020
308.337	1195	0.2603	0.020
310.711	1205	0.2593	0.020
313.096	1215	0.2613	0.020
315.569	1225	0.2619	0.020
318.107	1235	0.2634	0.020
320.46	1245	0.2601	0.020
323.064	1255	0.2577	0.020
325.328	1265	0.2607	0.020
327.899	1275	0.2559	0.020
330.296	1285	0.2615	0.020
332.527	1295	0.2573	0.020
335.088	1305	0.2583	0.020
337.506	1315	0.2583	0.020
339.956	1325	0.2571	0.020
342.287	1335	0.2586	0.020
344.759	1345	0.2603	0.020
347.09	1355	0.2555	0.020
349.464	1365	0.2466	0.020
351.707	1375	0.2506	0.020
353.906	1385	0.2519	0.020
356.422	1395	0.2595	0.020
358.895	1405	0.2704	0.020
361.39	1415	0.2657	0.020
363.797	1425	0.2599	0.020
366.335	1435	0.2589	0.020
368.6	1445	0.2604	0.020
370.985	1455	0.2551	0.020
373.501	1465	0.2492	0.020
375.678	1475	0.25	0.020
377.921	1485	0.2435	0.020
380.164	1495	0.247	0.020
382.506	1505	0.2558	0.020
384.77	1515	0.2602	0.020
387.407	1525	0.2583	0.020
389.748	1535	0.2688	0.020
392.046	1545	0.2513	0.020
394.519	1555	0.2603	0.020
396.773	1565	0.2598	0.020
399.245	1575	0.2572	0.020
401.586	1585	0.2594	0.020
403.939	1595	0.2609	0.020
406.204	1605	0.2576	0.020
408.775	1615	0.255	0.020
410.875	1625	0.2492	0.020
413.271	1635	0.2444	0.020
415.328	1645	0.2426	0.020
417.648	1655	0.2351	0.020
419.803	1665	0.2373	0.020
421.882	1675	0.2333	0.020
424.158	1685	0.2358	0.020
426.116	1695	0.2364	0.020
428.315	1705	0.2443	0.020
430.558	1715	0.2578	0.020
433.118	1725	0.2703	0.020
435.591	1735	0.2634	0.020
438.085	1745	0.2603	0.020
440.241	1755	0.2497	0.020
442.484	1765	0.2457	0.020
444.661	1775	0.2481	0.020
447.068	1785	0.2513	0.020
449.365	1795	0.2513	0.020
451.587	1805	0.244	0.020
453.742	1815	0.2421	0.020
455.941	1825	0.2445	0.020
458.151	1835	0.2569	0.020
460.471	1845	0.2639	0.020
463.042	1855	0.2688	0.020
465.471	1865	0.2623	0.020
467.757	1875	0.2525	0.020
469.945	1885	0.255	0.020
472.232	1895	0.2533	0.020
474.595	1905	0.2621	0.020
476.86	1915	0.2582	0.020
479.398	1925	0.256	0.020
481.608	1935	0.2483	0.020
483.775	1945	0.2437	0.020
485.974	1955	0.242	0.020
488.118	1965	0.2531	0.020
490.35	1975	0.2532	0.020
