#This is a comment line. 
Lab-ID	depth	age	age_unc	res_age	res_unc
AWI-2974.1.1	16	4029	26.39	1789	28
AWI-2975.1.1	36	5664	27.39	1789	28
AWI-2976.1.1	56	7334	28.06	1789	28
AWI-2977.1.1	76	8279	28.72	1789	28
AWI-2978.1.1	104	10579	30.37	1789	28
AWI-2979.1.1	124	11738	31.49	1789	28
AWI-2980.1.2	144	12914	32.88	1789	28
AWI-2981.1.1	164	13586	33.3	1789	28
AWI-2982.1.2	184	16099	40.55	1789	28
AWI-2983.1.2	210	19953	80.03	1789	28
AWI-2984.1.2	246	23685	105.25	1789	28
AWI-2985.1.2	282.5	25695	134.35	1789	28
AWI-2986.1.3	325.5	23488	64.96	1789	28
AWI-2987.1.2	377.5	30941	243.57	1789	28
AWI-2988.1.2	407.5	29612	95.43	1789	28
AWI-2989.1.2	457.5	32700	293.81	1789	28
AWI-2990.1.1	494.5	33068	121.14	1789	28
AWI-2991.1.1	561	26314	67	1789	28
AWI-2992.1.2	666	25595	64	1789	28
AWI-2993.1.3	755	29670	102	1789	28
AWI-2994.1.1	797	29040	84	1789	28
AWI-2995.1.2	832	30109	94	1789	28
AWI-2996.1.2	867	30540	228	1789	28
