#depth	age	sigma_age	deporate	sigma_deporate	deporate_model	sigma_deporate_model
0.000000000000000000e+00	2.147672158069229056e+02	9.446594712634323514e+02	1.225560786422271592e-02	2.194566795785508548e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.000000000000000000e+00	2.963625157772538614e+02	9.340694999128107838e+02	1.113771642259068183e-02	1.912388490446781039e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.000000000000000000e+00	3.861475275388835371e+02	9.403266846397200425e+02	1.015633690344547313e-02	1.654309703626733949e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.000000000000000000e+00	4.846082235070092565e+02	9.618154187271915134e+02	9.307832938924554683e-03	1.421255635621808053e-02	2.000000000000000042e-02	2.000000000000000000e+00
4.000000000000000000e+00	5.920446167643576700e+02	9.940690502625760701e+02	8.587467569422840147e-03	1.213578245824928868e-02	2.000000000000000042e-02	2.000000000000000000e+00
5.000000000000000000e+00	7.084933825868537269e+02	1.030061997788344797e+03	7.989865895419012015e-03	1.031356345092999255e-02	2.000000000000000042e-02	2.000000000000000000e+00
6.000000000000000000e+00	8.336519288114342316e+02	1.060827929474440452e+03	7.513606628262133220e-03	8.800302905091166375e-03	2.000000000000000042e-02	2.000000000000000000e+00
7.000000000000000000e+00	9.667438045876479009e+02	1.076738984366078739e+03	7.160460103449375370e-03	7.726141586927462966e-03	2.000000000000000042e-02	2.000000000000000000e+00
8.000000000000000000e+00	1.106399634737204224e+03	1.069507835543872261e+03	6.927974755794215345e-03	7.184899773567809435e-03	2.000000000000000042e-02	2.000000000000000000e+00
9.000000000000000000e+00	1.250741962076611571e+03	1.033221988118056743e+03	6.811560564527603841e-03	7.181774221950169325e-03	2.000000000000000042e-02	2.000000000000000000e+00
1.000000000000000000e+01	1.397551197717512423e+03	9.645241060274845495e+02	6.797579442958061498e-03	7.621616702056945893e-03	2.000000000000000042e-02	2.000000000000000000e+00
1.100000000000000000e+01	1.544662387574358945e+03	8.631955991523208240e+02	6.861954398535734766e-03	8.338544647330260393e-03	2.000000000000000042e-02	2.000000000000000000e+00
1.200000000000000000e+01	1.690393463871425183e+03	7.318454311477104284e+02	6.990808602704776976e-03	9.208183380960580783e-03	2.000000000000000042e-02	2.000000000000000000e+00
1.300000000000000000e+01	1.833438432891617595e+03	5.748311627700730924e+02	7.180728865151716697e-03	1.015198056062647895e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.400000000000000000e+01	1.972700062007434553e+03	3.977517759025805617e+02	7.427833313946157270e-03	1.109356217354205178e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.500000000000000000e+01	2.107328823549841218e+03	2.083630688518958038e+02	7.727496732659623439e-03	1.194729341186629053e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.600000000000000000e+01	2.236736836855570800e+03	5.852510946792543223e+01	8.065346337474502483e-03	1.260272473809556128e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.700000000000000000e+01	2.360724072884560883e+03	2.022022322659118743e+02	8.415729952877790826e-03	1.300106674685894484e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.800000000000000000e+01	2.479549178442759967e+03	3.747612587503351733e+02	8.759663614947609325e-03	1.317055533641302810e-02	2.000000000000000042e-02	2.000000000000000000e+00
1.900000000000000000e+01	2.593708813328006727e+03	5.292240843255241316e+02	9.087163644635035120e-03	1.315634446866232633e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.000000000000000000e+01	2.703754151907376126e+03	6.630863072715019371e+02	9.389165196662998050e-03	1.300867247333158637e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.100000000000000000e+01	2.810259893265022129e+03	7.758340695035821000e+02	9.657987096028348289e-03	1.278528992413273217e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.200000000000000000e+01	2.913801137424607987e+03	8.673988464783071777e+02	9.887531532338162885e-03	1.254954353337183089e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.300000000000000000e+01	3.014938615138777550e+03	9.377872836794196019e+02	1.007337975537790642e-02	1.236469561223303183e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.400000000000000000e+01	3.114210162949344976e+03	9.868860157290312145e+02	1.021286563584244619e-02	1.228516863915365097e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.500000000000000000e+01	3.212125873941415648e+03	1.014302732084947706e+03	1.030506041691427871e-02	1.234680360402105187e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.600000000000000000e+01	3.309165576722647529e+03	1.019186027941093471e+03	1.035346796798111528e-02	1.255347158771912344e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.700000000000000000e+01	3.405751571202234118e+03	1.001178715675893613e+03	1.036544986828107084e-02	1.288234537375656553e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.800000000000000000e+01	3.502225917487971401e+03	9.614268482367242541e+02	1.034575580057759715e-02	1.330730545335088305e-02	2.000000000000000042e-02	2.000000000000000000e+00
2.900000000000000000e+01	3.598883911285212434e+03	9.015540937118792044e+02	1.029645874366466769e-02	1.379803460045290163e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.000000000000000000e+01	3.696004681143615471e+03	8.227478745034040912e+02	1.021997520812097104e-02	1.431359251593948903e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.100000000000000000e+01	3.793852276625586910e+03	7.259796417886205973e+02	1.011901488837474265e-02	1.480676785325998716e-02	2.000000000000000042e-02	2.000000000000000000e+00
