#depth_dating	corr_age 	corr_age_uncert
depth	age	age_unc	res_age	res_unc
0.25	785	31	853	31
18.75	2787	33	853	31
35.25	3629	33	853	31
59.75	3832	33	853	31
81.25	4985	33	853	31
114.75	5417	34	853	31
138.75	5074	34	853	31
162.75	5382	34	853	31
187.75	5852	34	853	31
221.75	6472	35	853	31
248.75	8872	37	853	31
270.75	9085	37	853	31
293.25	9516	38	853	31
316.75	9901	39	853	31
338.75	10197	39	853	31
362.75	11687	30	853	31
383.75	12205	46	853	31
404.75	13017	48	853	31
443.75	14330	52	853	31
474.75	15686	48	853	31
503.75	17708	56	853	31
536.25	18000	55	853	31
565.75	22649	66	853	31
596.25	21786	204	853	31
624.25	25689	325	853	31
646.25	25081	300	853	31
